gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
LRRC37A,0.11781457490441527,3.393105184501642,1.177524940565111,0.2741330727127853,0.35844389444825747,-6.912763868298908
GCSAML,0.40492935243206707,-1.0185125700680537,1.1772945732629292,0.27421967400927655,0.3585303403682255,-6.101223552756767
ATF4,0.05658439587978137,8.262233474458895,1.1770792419051754,0.27430064322495734,0.3585826203341946,-7.463149199891053
CXCL2,0.605307409746608,-1.7172016992906656,1.1747118397873217,0.27519213359063494,0.3596137066464432,-6.000874418169042
RCBTB1,0.0632162536678944,5.914490316209032,1.1733117789274417,0.2757204722667671,0.36025032062989304,-7.441003060905789
OTUB1,0.07708127511949847,6.609916537830022,1.1729997450478393,0.2758383374074688,0.3603732685677689,-7.46851120047523
PILRA,0.22363607973955013,0.4781868798581713,1.172953631882662,0.27585575932711953,0.3603732685677689,-6.346278662364131
CENPJ,0.07530854857044389,5.244289805891009,1.1724925199911953,0.2760300207388112,0.36057400215799174,-7.3708189508117545
EIF2B2,0.08425682500118636,4.346794620383909,1.1720806508382906,0.276185748934122,0.36069665054095085,-7.184966233042955
SPTAN1,0.06031237712874571,9.421017313210408,1.1716531427103203,0.2763474664960478,0.3608539897182554,-7.4464570864366335
HSPB9,0.3479349222963749,-1.0234592069523873,1.1713403601543244,0.2764658349392393,0.36095468519001334,-6.107079769247741
SLC4A1,0.22886277490283735,0.5247455772737059,1.170857396315129,0.2766486879501856,0.36116647198152024,-6.356309214815056
TM9SF2,0.060219286148533335,7.462800816205264,1.1706723295837496,0.2767187816129972,0.36122416002449115,-7.47745365366483
AL590235.1,0.497395754207429,-1.164295023142649,1.169462013241535,0.2771775457684236,0.3617219683348233,-6.087929146566265
ARFGAP1,0.06020432592631675,6.925308428456593,1.1693053385242955,0.27723697807571807,0.36177254879545045,-7.476760845442791
PIAS2,0.08642972553854555,5.297920410558427,1.1687268912894277,0.27745649423780794,0.3620320030323914,-7.382975858346781
FOCAD,0.06828477628317575,6.655717637172529,1.168449967998562,0.2775616348625905,0.3621421897152156,-7.474392999358801
RASGEF1B,0.1287108185189938,3.1423443315722803,1.1682009467486465,0.27765620968668436,0.36223857550937816,-6.856729504840056
CAPNS1,0.077797287845498,7.224884702676698,1.1680687138686894,0.2777064406388062,0.36227709890699783,-7.480424864702021
RP11-484L7.1,0.1828855842014253,-0.2029252364914455,1.167310507045948,0.2779946024289859,0.362571927249372,-6.240347278706631
RP11-583F2.1,0.35135849442725786,1.456847227661894,1.1671711964241474,0.2780475750352096,0.3626139898301634,-6.510587718852554
RTEL1-TNFRSF6B,0.19615980507443087,4.0019139845349425,1.1668153010471423,0.2781829411426517,0.36273645954212086,-7.095475421295152
DNAJC28,0.1741683445027895,1.8602810788848738,1.1660416046806017,0.27847740562426,0.36302652197591384,-6.580965943246399
RP4-569D19.5,0.7843863351232132,-1.7624460640072055,1.166012802402113,0.2784883725358402,0.36302652197591384,-6.003946485205365
FAM131A,0.08656155482783756,4.2701013360441555,1.165575273203739,0.27865501202109244,0.36321668941207425,-7.171711208047936
SHOX,0.3033541639900914,0.5152152015015722,1.1646565159882385,0.2790052000519907,0.36364605956426227,-6.361629414436941
RNASEH1,0.08601864372112278,4.765785774454698,1.164414119996327,0.27909765029996575,0.3637394639606093,-7.293919530510761
CTC-451P13.1,0.49101173045193036,-1.4288363495909207,1.1639239271112733,0.2792846873282505,0.36390191686947543,-6.05477135897111
CNR2,0.3481211308726606,0.11347930890528982,1.1636007850440104,0.2794080408624956,0.3640355377151969,-6.29629348111299
SIK3,0.060898480946946165,5.946303194793868,1.1631859257325663,0.2795664711150627,0.3641877226265527,-7.454411578199742
APOPT1,0.07625536586811954,4.371470048265992,1.163130326338484,0.27958770950193246,0.3641882781430934,-7.201479343450439
WFDC11,0.37941773546797186,-1.1413860739112751,1.1629772900055666,0.2796461745967171,0.36423732112154467,-6.09852258045933
PPIA,0.07498744724048834,9.360930398116343,1.1621803264666584,0.27995080349792617,0.36449844571504536,-7.4583282832607365
AC002985.3,0.5706849004056231,-1.4889671305542205,1.1619830112774876,0.280026266551502,0.3645599287564142,-6.0480842998464
SYN2,0.2602092013359465,1.7104285717029288,1.1619479131577855,0.28003969154487224,0.3645599287564142,-6.559257218456382
RTFDC1,0.05464119026448255,6.116486988017803,1.1616157943933454,0.28016675267270136,0.3646982076188054,-7.465606104971407
IFT81,0.058868769236834595,6.184521439938804,1.160900323613897,0.2804406357623618,0.3650275725383494,-7.46959161999729
CNPY1,0.38268605115729826,-1.3015873267450986,1.160839099226039,0.2804640826955164,0.3650309396124092,-6.076959558367486
